2025-05-22 00:59:01 - [Item]waasdasd update [1354362]150007 plus [0] s1[NoSocket]s2[NoSocket]
2025-05-22 01:08:09 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:09 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:09 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:09 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:14 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:14 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:17 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:17 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:22 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:22 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:24 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:24 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:24 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:24 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:26 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:26 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:40 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:40 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:43 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:43 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:50 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:50 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:51 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:51 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:53 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:08:53 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:00 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:00 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:09:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:13 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:13 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:13 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:13 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:19 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:19 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:52 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:52 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:52 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:10:52 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:05 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:05 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:05 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:05 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:14 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:14 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:14 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:14 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:38 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:38 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:38 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:38 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:40 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:40 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:40 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:40 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:47 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:47 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:47 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
