2025-08-02 11:22:02 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:22:03 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:22:04 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:22:04 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:22:05 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:31:06 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:31:06 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:31:06 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:39:16 - Warrior[Test](1101212) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:39:16 - Warrior[Test](1101212) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:39:17 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:39:18 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:39:19 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:39:19 - Warrior[Test](1101212) drop item:[id=1001020, dur=1, max_dur=1
2025-08-02 11:40:01 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:40:02 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 11:40:03 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 13:05:56 - Archer[Test](1100520) drop item:[id=1002050, dur=1, max_dur=1
2025-08-02 16:07:32 - Fire[TEST](1101050) drop item:[id=421339, dur=6857, max_dur=7099
2025-08-02 21:14:56 - DSConquer[PM](1100002) drop item:[id=500329, dur=7099, max_dur=7099
